original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1571448,141,244263,652668,0,0,244263,652668,244263,652668,244263,652668,244263,652668
1571460,142,243700,652711,0,0,243700,652711,243700,652711,243700,652711,243700,652711
1571472,143,243984,653238,0,0,243984,653238,243984,653238,243984,653238,243984,653238
1571484,144,250795,650866,0,0,250795,650866,250795,650866,250795,650866,250795,650866
1571496,145,251942,651099,0,0,251942,651099,251942,651099,251942,651099,251942,651099
1571508,146,251282,651843,0,0,251282,651843,251282,651843,251282,651843,251282,651843
1571520,147,249666,649464,0,0,249666,649464,249666,649464,249666,649464,249666,649464
1571532,148,250666,649441,0,0,250666,649441,250666,649441,250666,649441,250666,649441
1571544,149,250046,650181,0,0,250046,650181,250046,650181,250046,650181,250046,650181
1571556,150,251422,649035,0,0,251422,649035,251422,649035,251422,649035,251422,649035
1571568,151,251119,650502,0,0,251119,650502,251119,650502,251119,650502,251119,650502
1571580,152,250776,650026,0,0,250776,650026,250776,650026,250776,650026,250776,650026
1571592,153,250356,651530,0,0,250356,651530,250356,651530,250356,651530,250356,651530
1571604,154,250468,650584,0,0,250468,650584,250468,650584,250468,650584,250468,650584
1571616,155,249552,650672,0,0,249552,650672,249552,650672,249552,650672,249552,650672
1571628,156,245933,648695,0,0,245933,648695,245933,648695,245933,648695,245933,648695
1571640,157,245521,648774,0,0,245521,648774,245521,648774,245521,648774,245521,648774
1571652,158,239905,648273,0,0,239905,648273,239905,648273,239905,648273,239905,648273
1571686,159,167759,483564,30,51,167743,483478,167743,483597,167818,483597,167822,483597
1571697,160,135855,471242,15,15,135820,471217,135862,471249,135862,471249,135866,471258
1571708,161,134727,474941,10,29,134707,474892,134728,474960,134750,474960,134750,474960
1571720,162,240159,649353,0,0,240159,649353,240159,649353,240159,649353,240159,649353
1571732,163,239524,652274,0,0,239524,652274,239524,652274,239524,652274,239524,652274
1571744,164,239524,652274,0,0,239524,652274,239524,652274,239524,652274,239524,652274
1571756,165,239524,652274,0,0,239524,652274,239524,652274,239524,652274,239524,652274
1571780,166,235282,649793,0,0,235282,649793,235282,649793,235282,649793,235282,649793
1571792,167,235777,649448,0,0,235777,649448,235777,649448,235777,649448,235777,649448
1571804,168,235587,649924,0,0,235587,649924,235587,649924,235587,649924,235587,649924
1571815,169,258218,824937,4,3,258211,824930,258221,824938,258221,824938,258221,824947
1571826,170,272652,864625,9,11,272648,864620,272648,864620,272663,864648,272685,864651
1571837,171,277734,861076,5,8,277726,861072,277737,861072,277737,861089,277737,861099
1571848,172,271312,859219,5,2,271311,859218,271311,859220,271324,859223,271324,859223
1571860,173,179203,579005,14,5,179170,578991,179212,579007,179212,579012,179212,579012
1571872,174,179840,584611,5,6,179829,584600,179844,584615,179844,584615,179844,584615
1571884,175,184926,585100,29,23,184914,585092,184914,585092,184971,585158,185014,585171
1571896,176,171157,571007,6,4,171147,571005,171162,571005,171162,571017,171162,571017
1571908,177,176106,568464,4,2,176101,568463,176109,568463,176109,568468,176109,568473
1571920,178,171539,569332,13,10,171532,569327,171532,569327,171557,569350,171576,569357
1571932,179,164538,552840,3,7,164536,552829,164536,552845,164544,552845,164544,552845
1571944,180,165326,554700,53,23,165292,554687,165292,554687,165425,554742,165433,554756
1571992,181,170342,540500,18,9,170301,540485,170351,540505,170351,540505,170368,540506
1572004,182,165235,538434,2,6,165235,538430,165235,538430,165238,538447,165243,538447
1572016,183,168522,535463,4,4,168522,535463,168524,535463,168524,535470,168528,535471
1572028,184,166079,551993,2,2,166078,551990,166081,551993,166081,551998,166081,551998
1572040,185,162619,550096,9,2,162613,550093,162613,550097,162635,550097,162640,550103
1572052,186,161897,557859,2,2,161893,557856,161898,557860,161898,557860,161900,557862
1572064,187,187655,580317,0,0,187655,580317,187655,580317,187655,580317,187655,580317
1572076,188,184637,579917,45,7,184619,579907,184619,579919,184752,579926,184761,579926
1572088,189,186425,581498,20,13,186393,581494,186435,581494,186435,581522,186436,581552
1572100,190,189212,578520,10,5,189207,578517,189207,578517,189231,578531,189231,578531
1572112,191,188066,577516,27,43,188051,577440,188051,577541,188116,577541,188116,577541
1572124,192,187649,579222,4,117,187648,579157,187648,579157,187661,579433,187661,579449
1572136,193,158360,519278,17,10,158354,519273,158354,519273,158388,519298,158401,519298
1572148,194,160270,522716,4,24,160267,522660,160270,522731,160274,522731,160285,522731
1572160,195,192623,571525,6,19,192606,571476,192626,571533,192626,571533,192626,571533
1572172,196,195261,573473,28,4,195189,573472,195272,573472,195272,573484,195272,573484
1572184,197,192164,574314,5,3,192163,574313,192163,574313,192178,574324,192178,574324
1572196,198,179649,563520,0,14,179647,563487,179650,563529,179650,563529,179650,563529
1572208,199,181562,562377,4,6,181556,562367,181563,562380,181571,562380,181571,562380
1572220,200,179069,561488,6,10,179057,561469,179074,561495,179074,561495,179074,561495
1572232,201,176853,562061,77,27,176806,562010,176806,562078,176998,562078,176998,562078
1572244,202,181653,559578,4,6,181654,559562,181654,559582,181656,559582,181662,559582
1572256,203,180201,562162,7,1,180197,562158,180197,562163,180213,562163,180222,562163
1572268,204,172856,562318,14,6,172826,562304,172864,562322,172864,562322,172864,562322
1572280,205,167905,561872,58,10,167840,561849,167935,561876,167935,561876,167935,561883
1572292,206,169280,564140,5,2,169272,564141,169284,564141,169284,564141,169284,564144
1572304,207,165872,562831,9,36,165857,562820,165874,562843,165874,562849,165897,562849
1572316,208,165403,558898,20,56,165396,558890,165396,558909,165426,558966,165459,558966
1572328,209,167314,560899,47,86,167298,560897,167333,560928,167333,560934,167333,560934
1572340,210,165254,569360,1,8,165253,569345,165253,569365,165257,569365,165258,569365
1572352,211,160849,543889,20,8,160810,543868,160860,543894,160860,543894,160860,543894
1572364,212,160192,542597,3,25,160190,542573,160193,542590,160194,542647,160202,542667
1572376,213,148980,517392,10,22,148959,517337,148983,517404,148985,517404,148999,517404
1572388,214,152236,522308,5,70,152234,522181,152234,522348,152245,522348,152256,522348
1572400,215,157176,517985,11,19,157177,517948,157177,517997,157193,517997,157193,517997
1572412,216,188489,571268,32,1,188439,571267,188511,571267,188511,571271,188511,571271
1572424,217,186884,570614,68,94,186787,570554,186928,570554,186928,570768,186928,570768
1572436,218,192300,574212,76,20,192118,574171,192343,574225,192343,574225,192343,574225
1572448,219,182617,572060,19,2,182588,572057,182630,572061,182630,572061,182630,572064
1572460,220,183708,582930,33,22,183688,582895,183688,582939,183765,582939,183789,582939
1572472,221,182433,581720,34,172,182420,581271,182420,581787,182523,581787,182523,581787
1572484,222,183225,583267,10,21,183199,583228,183231,583281,183231,583281,183231,583281
1572496,223,186521,584177,4,11,186519,584155,186519,584182,186529,584182,186533,584193
1572508,224,187212,577216,36,26,187123,577160,187228,577217,187228,577265,187228,577276
1572520,225,191392,584934,8,1,191387,584934,191394,584934,191394,584938,191405,584938
1572531,226,303201,670854,1,1,303199,670852,303202,670855,303203,670855,303207,670855
1572542,227,299574,667780,2,2,299570,667779,299576,667779,299576,667783,299577,667786
