eovx,eovy,num
236624,646598,320
235141,649333,315
317800,811817,857
238620,648062,353
155516,533461,135
244450,648987,234
243644,652115,277
243932,652062,290
235543,649266,277
236811,650891,84
236812,651316,207
255827,659357,719
223708,656439,561
238082,653232,194
237668,653268,362
248260,845810,550
232929,649840,383
246626,843390,786
247175,846197,739
153419,737618,239
235631,665742,296
248296,649897,230
231342,651066,217
242905,642606,355
240928,641990,713
230564,648508,94
240640,647649,231
237121,647389,242
231534,654541,325
239074,657654,261
214774,663219,481
240857,651131,138
293767,848846,322
293869,849482,203
241984,649204,111
294372,848477,354
295230,849524,164
246078,653896,281
236751,652678,515
221856,666462,314
238213,652984,159
238542,652880,279
225671,656139,982
231299,680428,285
241083,648492,352
176844,559832,116
239615,661639,225
172030,552605,22
230860,655439,187
246500,652703,386
232074,639448,236
234379,659652,242
240103,660082,386
243240,649130,143
235925,648011,292
236971,649652,225
233941,649435,271
124081,679135,226
167065,481952,571
166689,483455,189
169633,481180,476
241454,648831,345
243160,651134,243
294090,851875,387
233209,661079,342
246612,850809,346
254960,665951,557
246371,844090,471
246302,844420,470
246022,844911,404
233234,656407,204
232432,656679,311
251758,671302,63
140291,737450,309
242968,651722,631
337688,833250,128
237651,672231,680
235324,658630,199
233908,658026,321
235541,656234,287
234811,658293,167
245512,649272,279
250544,671874,337
250282,672718,242
250286,674198,28
247341,651144,551
246994,650309,330
257348,638617,401
248972,673724,226
245860,673529,101
242056,654180,336
232440,646852,292
239729,666062,122
234584,648718,358
237427,653499,164
251335,655068,88
239905,648591,32
251078,674525,134
248643,676512,71
250844,676465,92
245353,654038,299
210459,613888,208
234609,657147,205
241863,647441,127
183036,645512,191
244858,657354,60
239873,654369,115
123133,689076,568
228197,651311,42
230756,651821,124
236730,650750,109
242968,658506,200
235373,646678,216
205279,619047,236
224846,632494,490
238066,652597,158
237995,652871,173
238423,648009,99
238296,648245,150
238823,649480,58
188833,573403,159
240544,655659,274
253450,850833,245
169372,699248,1283
173863,697065,268
233238,653625,231
233120,654156,223
266754,654078,370
245721,843534,538
298884,852407,350
241420,654104,155
234466,647479,421
235149,648086,457
240408,652300,273
243461,650877,160
242944,648994,138
243461,651512,349
286319,666764,133
245593,843970,577
245900,844264,212
249695,665359,1
270560,715481,754
310033,776710,429
152046,811449,498
241429,652274,60
96551,731464,332
102828,735207,443
86240,587507,299
83545,588487,668
212943,464380,226
264221,461940,374
111851,623521,425
286330,751638,648
239362,654371,381
82092,585679,283
94012,642509,234
92986,643960,395
215024,468130,611
222093,795286,40
120315,746730,345
255957,543084,329
236891,651678,421
127470,493063,689
248296,665204,8
249159,665989,6
185416,769612,225
158288,549904,284
152336,804155,350
252951,837393,507
254747,841034,746
318775,742583,1118
206713,609947,415
252768,844708,1129
251240,671561,171
97177,735221,129
82159,584998,379
294330,798576,101
239778,656846,75
305200,704580,13
250259,671298,163
249282,669824,101
175897,641606,27
105158,729744,495
98281,740714,246
302770,850160,198
233950,653595,469
233262,652946,359
234001,652812,399
236492,652969,273
240857,650877,176
236548,659942,418
101600,767994,322
147239,820338,530
271792,626854,56
229872,676277,0
230253,637796,0
256288,647321,34
228348,637796,0
228475,639955,0
266448,652401,1
270385,655957,0
200154,597283,126
251716,673483,0
237746,672340,0
227078,670689,4
215902,728220,25
200154,733173,0
188343,706376,3
215648,650369,32
272671,654306,0
226824,672594,0
286387,698375,11
131320,644527,0
93093,641479,0
218950,647956,0
250192,673102,0
227586,672848,0
233428,628144,86
242826,584329,153
249176,618238,68
204345,734316,0
173992,699899,1
172214,697359,0
171071,700153,0
172849,698756,0
171579,698248,0
171071,695708,0
173230,700915,3
172087,696470,0
176659,691009,0
174754,697740,0
253367,836551,28
280545,828169,0
214378,638431,86
66042,574931,65
258574,654687,22
196344,589790,192
220220,590933,235
164467,632208,60
114683,593346,22
204345,737364,0
205996,736221,0
204853,736348,0
102999,735967,4
102999,735078,3
104015,736094,0
341759,842901,0
342521,843155,0
308485,782195,8
306961,780798,0
306072,779147,0
306707,779655,0
242064,733046,0
208663,780163,0
304929,779401,0
113159,731903,0
335536,838583,0
333885,837059,0
103126,736475,0
103507,734570,12
315597,810008,0
103253,734824,0
303913,685421,14
140083,801499,15
