eovx,eovy,num
179250,694454,110
232906,658991,81
244709,653841,120
255671,701342,118
225918,638435,220
236886,652108,77
218900,652475,157
236613,827089,73
263614,843603,96
263421,852143,98
234944,674587,116
230092,675828,327
208733,740911,38
243861,646981,28
235323,652609,177
221591,648621,130
224333,651128,46
220732,647999,77
219478,646662,141
235825,646557,66
236244,646788,80
255499,651668,152
244032,649641,127
244354,649361,125
206596,600183,69
203859,603229,77
258096,672896,38
202018,743097,70
236297,682853,80
215464,651500,121
213670,654935,71
250202,640853,143
173733,571380,31
175956,572657,97
252718,656474,90
220840,655277,143
223292,654737,103
245816,652756,70
243470,655694,77
197140,646384,63
233275,636939,146
245368,843742,106
242467,660889,58
240031,851696,30
243073,647140,60
238595,844038,186
249459,646594,84
235714,650369,11
236071,668737,100
235745,669808,102
242293,658778,141
244785,664248,150
245274,665544,104
231663,650448,72
230278,651240,66
211524,659068,67
233297,643127,202
252476,650180,54
236518,650428,59
231406,655091,34
244533,646110,11
241741,660268,54
235630,648458,71
236216,649569,54
235848,649654,89
229616,647093,25
229937,646966,25
224256,653471,217
240077,657166,86
241989,648087,26
293235,849572,179
290848,851281,72
291448,849390,162
293446,848571,105
293639,850135,210
248486,664491,2
238229,648913,68
238257,648628,51
242862,652636,112
247660,655201,22
248027,655104,36
145418,743281,87
240540,651512,28
235342,654197,113
239864,651926,40
240049,652091,31
247376,637506,190
183490,705682,78
241679,651782,158
247398,843536,41
243678,661404,46
176008,577051,47
232070,647980,30
232702,654373,61
245543,841963,104
173778,571581,17
174007,572529,39
248205,653847,63
240997,648756,92
176251,556330,31
245291,649607,125
153611,533403,24
165540,533129,32
238762,650242,23
280980,636562,33
333548,876622,81
230603,656059,41
240603,651639,53
240413,654280,80
231888,660636,59
232039,662132,36
264654,652110,128
232762,669680,122
168624,481315,124
257449,696893,184
240803,846710,98
231424,649199,101
249120,650894,12
248883,650927,12
249035,651296,29
243420,643637,32
243769,644972,36
239181,651893,40
245156,649164,84
237404,658287,27
233681,649075,68
160563,544825,36
162224,546853,51
150771,712346,89
239040,647676,130
173549,476114,216
168893,482268,105
170087,483037,231
238117,660312,86
239079,659824,13
176179,685948,148
234691,656206,25
237560,649102,29
241362,646698,52
241531,646412,104
277611,653342,49
241936,655880,133
242457,650788,54
195732,563849,39
195441,563097,166
194597,563485,262
248240,654623,54
257135,667384,325
210141,617426,163
212117,624535,162
229479,668206,288
313071,890233,19
247837,826073,133
246340,662867,113
178268,734806,14
229509,651553,30
228513,651927,38
229713,652145,39
236458,668005,54
236799,669355,22
224292,679563,199
223842,682458,15
249247,652406,41
294146,849502,145
294852,849980,83
293896,850612,71
244927,653364,44
239638,651943,24
232763,660279,96
235890,660091,24
234948,660053,49
217043,651352,85
247173,847566,95
228924,653360,54
245675,762492,25
251458,658813,154
253972,660651,212
245940,652998,54
245362,656138,53
