tower_id,mean_x,mean_y,std_x,std_y
22961,237661,654818,0,1
22962,237661,654822,0,0
22963,237661,654828,1,0
22964,237664,654829,0,0
22965,237666,654833,0,2
22966,237667,654835,0,0
22967,237667,654835,0,0
22968,237669,654837,0,0
22969,237669,654840,0,1
22970,237669,654841,0,0
22971,237669,654842,0,0
22972,237669,654844,0,0
22973,237671,654845,1,0
22974,237674,654845,0,0
22975,237675,654846,0,0
22976,237676,654847,0,0
22977,237677,654847,1,0
22978,237680,654848,1,1
22979,237682,654852,0,0
22980,237682,654852,0,0
22981,237682,654852,0,0
22982,237682,654857,0,2
22983,237682,654863,0,3
22984,237684,654866,0,0
22985,237685,654867,0,0
22986,237687,654868,0,0
22987,237687,654870,0,1
22988,237687,654879,0,5
22989,237687,654890,0,2
22990,237691,654892,2,0
22991,237694,654894,0,1
22992,237695,654900,0,2
22993,237696,654902,1,0
22994,237699,654902,0,0
22995,237702,654902,0,0
22996,237702,654906,0,2
22997,237703,654908,0,0
22998,237703,654911,0,1
22999,237707,654914,2,0
23000,237712,654915,0,0
23001,237714,654915,1,0
23002,237717,654915,0,0
23003,237718,654919,0,3
23004,237720,654924,0,0
23005,237720,654927,1,1
23006,237724,654930,0,1
23007,237726,654935,2,3
23008,237733,654940,1,0
23009,237736,654941,0,0
23010,237737,654941,0,0
23011,237739,654941,0,0
23012,237741,654941,1,0
23013,237746,654941,0,0
23014,237746,654941,0,0
23015,237746,654941,0,0
23016,237746,654941,0,0
23017,237746,654941,0,0
23018,237746,654941,0,0
23019,237746,654941,0,0
23020,237746,654941,0,0
23021,237746,654941,0,0
23022,237746,654941,0,0
23023,237746,654941,0,0
23024,237746,654941,0,0
23025,237746,654941,0,0
23026,237746,654941,0,0
23027,237746,654941,0,0
23028,237746,654941,0,0
23029,237746,654941,0,0
23030,237746,654941,0,0
23031,237746,654941,0,0
23032,237746,654941,0,0
23033,237746,654941,0,0
23034,237746,654941,0,0
23035,237746,654941,0,0
23036,237746,654941,2,0
23037,237752,654941,0,0
23038,237753,654941,2,0
23039,237761,654941,1,0
23040,237764,654941,0,0
23041,237765,654941,1,0
23042,237769,654941,1,0
23043,237771,654941,0,0
23044,237771,654941,0,0
23045,237775,654941,1,0
23046,237777,654941,0,0
23047,237777,654941,0,0
23048,237777,654941,2,0
23049,237785,654944,0,1
23050,237788,654946,0,1
23051,237788,654950,0,0
23052,237788,654952,0,0
23053,237788,654953,0,1
23054,237788,654956,0,0
23055,237788,654956,0,0
23056,237788,654958,0,4
23057,237788,654965,0,0
23058,237788,654965,0,0
23059,237788,654967,0,0
23060,237789,654967,1,0
23061,237791,654968,0,0
23062,237792,654969,0,0
23063,237792,654971,0,0
23064,237794,654972,1,0
23065,237796,654972,0,0
23066,237796,654972,0,0
23067,237799,654972,3,0
23068,237803,654972,0,0
23069,237803,654972,0,0
23070,237804,654974,0,1
23071,237807,654977,1,1
23072,237809,654980,0,1
23073,237809,654982,0,0
23074,237809,654983,0,0
23075,237809,654991,0,4
23076,237809,654995,0,0
23077,237809,654996,0,0
23078,237809,654998,0,0
23079,237810,655001,0,2
23080,237811,655004,0,0
23081,237811,655004,0,0
23082,237813,655007,0,3
23083,237816,655011,1,0
23084,237820,655011,1,0
23085,237822,655012,0,0
23086,237823,655013,0,0
23087,237824,655014,0,0
23088,237830,655015,3,1
23089,237837,655018,3,0
23090,237841,655019,0,0
23091,237841,655021,0,0
23092,237841,655021,0,0
23093,237842,655022,0,0
23094,237844,655023,0,0
23095,237844,655023,0,0
23096,237848,655026,0,0
23097,237851,655027,1,0
23098,237853,655028,0,0
23099,237854,655028,0,0
23100,237854,655029,0,1
23101,237855,655032,1,0
23102,237857,655032,0,0
23103,237857,655033,0,1
23104,237859,655036,0,0
23105,237860,655036,0,0
23106,237860,655036,0,0
23107,237862,655046,0,8
23108,237864,655053,0,0
23109,237865,655055,0,1
23110,237871,655058,2,0
23111,237873,655063,0,1
23112,237873,655064,0,0
23113,237873,655067,0,1
23114,237873,655068,0,0
23115,237873,655068,0,0
23116,237873,655068,0,0
23117,237873,655068,0,0
23118,237873,655068,0,0
23119,237873,655068,0,0
23120,237873,655068,0,0
23121,237873,655068,0,0
23122,237873,655068,0,0
23123,237873,655068,0,0
23124,237873,655068,0,0
23125,237873,655068,0,0
23126,237873,655068,0,0
23127,237873,655068,0,0
23128,237873,655068,0,0
23129,237873,655068,0,0
23130,237873,655068,0,0
23131,237873,655068,0,0
23132,237873,655068,0,0
23133,237873,655068,0,0
23134,237873,655068,0,0
23135,237873,655068,0,0
23136,237873,655068,0,0
23137,237873,655068,0,0
23138,237873,655068,0,0
23139,237873,655068,0,0
23140,237873,655068,0,0
23141,237873,655072,0,1
23142,237873,655075,0,1
23143,237873,655078,0,0
23144,237873,655079,0,0
23145,237873,655079,0,0
23146,237873,655079,0,0
23147,237873,655079,0,0
23148,237873,655080,0,0
23149,237873,655080,0,0
23150,237873,655081,0,1
23151,237873,655083,0,0
23152,237873,655084,0,1
23153,237873,655086,0,0
23154,237873,655086,0,0
23155,237874,655086,0,0
23156,237875,655086,0,0
23157,237876,655087,0,1
23158,237876,655091,0,1
23159,237880,655093,0,0
23160,237882,655097,0,2
23161,237885,655099,1,0
23162,237888,655099,0,0
23163,237892,655100,1,0
23164,237894,655102,0,1
23165,237895,655104,0,0
23166,237895,655104,0,0
23167,237899,655104,2,0
23168,237901,655107,0,0
23169,237901,655108,0,0
23170,237906,655111,3,1
23171,237909,655113,0,0
23172,237909,655114,0,1
23173,237909,655116,0,0
23174,237912,655116,2,0
23175,237915,655120,0,3
23176,237915,655124,0,0
23177,237915,655129,0,2
23178,237916,655131,2,0
23179,237921,655131,1,0
23180,237923,655131,0,0
23181,237923,655131,0,0
23182,237926,655131,2,0
23183,237929,655131,0,0
23184,237934,655131,2,0
23185,237936,655131,0,0
23186,237936,655131,0,0
23187,237936,655131,0,0
23188,237936,655131,0,0
23189,237936,655133,0,1
23190,237936,655137,0,1
23191,237936,655138,0,0
23192,237937,655139,0,0
23193,237940,655140,3,0
23194,237952,655141,1,0
23195,237953,655144,0,2
23196,237953,655146,0,0
23197,237953,655147,0,0
23198,237953,655147,0,0
23199,237954,655149,0,0
23200,237954,655150,0,0
23201,237955,655151,0,0
23202,237957,655155,0,0
23203,237957,655162,0,0
23204,237957,655168,0,0
23205,237957,655169,0,0
23206,237961,655169,2,0
23207,237965,655172,1,0
23208,237967,655173,0,0
23209,237968,655173,0,0
23210,237968,655173,0,0
23211,237968,655174,0,1
23212,237972,655177,1,1
23213,237973,655180,0,0
23214,237977,655181,1,0
23215,237978,655182,0,0
23216,237978,655182,0,0
23217,237978,655184,0,0
23218,237978,655187,0,2
23219,237983,655195,2,0
23220,237988,655195,1,0
23221,237991,655195,1,0
23222,237993,655195,1,0
23223,238000,655195,0,0
23224,238000,655195,0,0
23225,238000,655195,0,0
23226,238000,655195,0,0
23227,238000,655195,0,0
23228,238000,655195,0,0
23229,238000,655195,0,0
23230,238000,655195,0,0
23231,238000,655195,0,0
23232,238000,655195,0,0
